instance_index,original_test_index,CF_number,distance_to_original,decile1,decile3,fam_inc,lsat,ugpa,fulltime
0,12823,1,1.7320508075688772,3.0,2.0,3.0,34.0,3.7,1.0
0,12823,2,1.7349351572897471,2.0,1.0,3.0,34.0,3.8,1.0
0,12823,3,1.7349351572897473,3.0,1.0,3.0,33.0,3.6,1.0
1,10083,1,0.10000000000000009,2.0,2.0,4.0,34.0,2.8,1.0
1,10083,2,0.5,2.0,2.0,4.0,34.0,3.4,1.0
1,10083,3,0.5385164807134505,2.0,2.0,4.0,33.5,3.1,1.0
2,3378,1,0.20000000000000018,2.0,1.0,2.0,36.0,3.6,1.0
2,3378,2,1.0,3.0,1.0,2.0,36.0,3.4,1.0
2,3378,3,1.0440306508910548,3.0,1.0,2.0,36.0,3.1,1.0
3,14607,1,0.0,4.0,8.0,4.0,32.0,3.1,1.0
3,14607,2,1.469693845669907,4.0,9.0,3.0,32.0,2.7,1.0
3,14607,3,1.5132745950421556,5.0,7.0,4.0,32.5,3.3,1.0
4,6400,1,0.19999999999999973,4.0,7.0,3.0,37.0,3.4,2.0
4,6400,2,1.004987562112089,4.0,7.0,3.0,37.0,3.3,1.0
4,6400,3,1.4177446878757827,4.0,6.0,4.0,37.0,3.1,2.0
5,18000,1,0.0,2.0,1.0,1.0,27.0,2.6,2.0
5,18000,2,1.7320508075688772,1.0,1.0,2.0,27.0,2.6,1.0
5,18000,3,1.7578395831246945,1.0,1.0,2.0,27.0,2.9,1.0
6,10483,1,0.10000000000000009,2.0,2.0,4.0,34.0,2.8,1.0
6,10483,2,0.5,2.0,2.0,4.0,34.0,3.4,1.0
6,10483,3,0.5385164807134505,2.0,2.0,4.0,33.5,3.1,1.0
7,5752,1,0.0,3.0,3.0,3.0,30.0,3.2,1.0
7,5752,2,0.2999999999999998,3.0,3.0,3.0,30.0,3.5,1.0
7,5752,3,0.5099019513592785,3.0,3.0,3.0,29.5,3.1,1.0
8,16102,1,0.0,1.0,2.0,5.0,37.0,3.1,1.0
8,16102,2,1.0440306508910548,1.0,2.0,4.0,37.0,3.4,1.0
8,16102,3,1.1357816691600546,2.0,2.0,5.0,37.5,3.3,1.0
9,11352,1,0.0,5.0,3.0,3.0,29.0,2.8,1.0
9,11352,2,1.019803902718557,5.0,3.0,3.0,30.0,3.0,1.0
9,11352,3,1.044030650891055,5.0,3.0,3.0,28.0,3.1,1.0
10,10500,1,0.0,2.0,2.0,3.0,25.0,2.9,1.0
10,10500,2,0.5,2.0,2.0,3.0,25.0,2.4,1.0
10,10500,3,0.6403124237432848,2.0,2.0,3.0,25.5,3.3,1.0
11,18144,1,0.0,4.0,4.0,3.0,35.0,2.6,1.0
11,18144,2,0.3999999999999999,4.0,4.0,3.0,35.0,3.0,1.0
11,18144,3,0.6000000000000001,4.0,4.0,3.0,35.0,3.2,1.0
12,15612,1,0.0,1.0,2.0,4.0,40.0,3.1,1.0
12,15612,2,1.004987562112089,1.0,2.0,4.0,41.0,3.2,1.0
12,15612,3,1.004987562112089,2.0,2.0,4.0,40.0,3.2,1.0
13,4184,1,0.19999999999999973,9.0,9.0,4.0,40.0,3.1,1.0
13,4184,2,0.30000000000000027,9.0,9.0,4.0,40.0,3.6,1.0
13,4184,3,0.5,9.0,9.0,4.0,40.0,3.8,1.0
14,10723,1,0.30000000000000027,3.0,4.0,4.0,40.0,3.1,1.0
14,10723,2,0.6000000000000001,3.0,4.0,4.0,40.0,3.4,1.0
14,10723,3,1.0,3.0,4.0,4.0,41.0,2.8,1.0
15,18004,1,0.10000000000000009,3.0,3.0,4.0,34.0,2.7,1.0
15,18004,2,0.3999999999999999,3.0,3.0,4.0,34.0,3.0,1.0
15,18004,3,0.6999999999999997,3.0,3.0,4.0,34.0,3.3,1.0
16,18048,1,0.6999999999999997,7.0,7.0,4.0,40.0,3.3,1.0
16,18048,2,1.0440306508910548,7.0,7.0,4.0,41.0,2.9,1.0
16,18048,3,1.044030650891055,7.0,7.0,4.0,39.0,2.3,1.0
17,17231,1,1.019803902718557,1.0,1.0,3.0,34.0,3.2,1.0
17,17231,2,1.019803902718557,1.0,1.0,3.0,34.0,3.2,1.0
17,17231,3,1.0440306508910548,1.0,1.0,3.0,34.0,3.3,1.0
18,17276,1,1.445683229480096,5.0,2.0,4.0,28.0,3.3,1.0
18,17276,2,1.445683229480096,6.0,2.0,4.0,29.0,2.7,1.0
18,17276,3,1.5905973720586863,6.0,2.0,3.0,27.3,3.2,1.0
19,7463,1,0.0,2.0,2.0,3.0,36.0,2.4,1.0
19,7463,2,0.5,2.0,2.0,3.0,36.0,2.9,1.0
19,7463,3,0.7000000000000002,2.0,2.0,3.0,36.0,3.1,1.0
20,2376,1,0.6403124237432848,1.0,2.0,2.0,31.5,3.0,1.0
20,2376,2,1.0770329614269007,1.0,2.0,2.0,31.0,3.0,1.0
20,2376,3,1.118033988749895,1.0,2.0,2.0,31.0,2.9,1.0
21,17670,1,1.004987562112089,1.0,2.0,2.0,24.0,2.9,1.0
21,17670,2,1.019803902718557,1.0,1.0,2.0,23.0,3.2,1.0
21,17670,3,2.0024984394500787,2.0,2.0,3.0,25.0,2.9,1.0
22,7585,1,1.4177446878757827,2.0,4.0,3.0,25.0,2.3,2.0
22,7585,2,1.8027756377319946,2.0,4.0,4.0,26.0,2.9,1.0
22,7585,3,2.4515301344262523,3.0,4.0,4.0,26.0,2.5,1.0
23,7755,1,1.1874342087037917,2.0,2.0,4.0,27.5,2.8,1.0
23,7755,2,1.2000000000000002,2.0,1.0,4.0,27.0,3.6,1.0
23,7755,3,1.3928388277184127,2.0,1.0,4.0,28.3,2.9,1.0
24,5596,1,0.0,7.0,7.0,3.0,24.0,3.2,1.0
24,5596,2,1.224744871391589,6.0,7.0,3.0,23.5,2.7,1.0
24,5596,3,1.4142135623730951,6.0,6.0,3.0,24.0,3.2,1.0
25,9250,1,0.0,3.0,1.0,3.0,33.0,3.6,1.0
25,9250,2,1.0,3.0,2.0,3.0,33.0,3.6,1.0
25,9250,3,1.2206555615733703,3.0,2.0,3.0,33.0,2.9,1.0
26,17454,1,1.019803902718557,5.0,4.0,4.0,31.0,3.2,1.0
26,17454,2,1.019803902718557,6.0,4.0,4.0,30.0,3.2,1.0
26,17454,3,1.0440306508910548,5.0,3.0,4.0,30.0,3.3,1.0
27,16710,1,1.0440306508910548,2.0,2.0,3.0,25.5,3.3,1.0
27,16710,2,1.1224972160321824,2.0,2.0,3.0,25.0,2.9,1.0
27,16710,3,1.2688577540449522,2.0,2.0,3.0,25.0,2.4,1.0
28,15093,1,1.5132745950421556,8.0,4.0,3.0,21.5,2.9,1.0
28,15093,2,1.7578395831246947,8.0,4.0,3.0,22.0,2.8,1.0
28,15093,3,3.0016662039607267,8.0,7.0,1.0,23.0,3.0,1.0
29,3759,1,1.7320508075688772,2.0,4.0,3.0,25.0,2.3,2.0
29,3759,2,1.8681541692269403,1.0,3.0,2.0,24.0,2.6,1.0
29,3759,3,2.4819347291981715,1.0,2.0,2.0,24.0,2.9,1.0
30,11517,1,0.9000000000000004,3.0,2.0,2.0,38.0,3.7,1.0
30,11517,2,1.019803902718557,3.0,2.0,3.0,38.0,3.0,1.0
30,11517,3,1.118033988749895,3.0,3.0,2.0,38.0,3.3,1.0
31,6894,1,1.0440306508910548,5.0,3.0,3.0,33.0,3.5,1.0
31,6894,2,1.044030650891055,5.0,3.0,3.0,33.0,2.9,1.0
31,6894,3,1.1357816691600546,5.0,3.0,3.0,32.5,3.4,1.0
32,9840,1,1.0,1.0,1.0,3.0,36.0,2.9,1.0
32,9840,2,1.004987562112089,1.0,1.0,2.0,35.0,3.0,1.0
32,9840,3,1.004987562112089,1.0,1.0,3.0,36.0,2.8,1.0
33,13984,1,1.044030650891055,1.0,1.0,4.0,31.0,2.4,1.0
33,13984,2,1.0770329614269007,1.0,1.0,4.0,31.0,3.1,1.0
33,13984,3,1.22065556157337,1.0,1.0,5.0,30.0,3.4,1.0
34,4388,1,0.0,7.0,7.0,4.0,40.0,3.3,2.0
34,4388,2,1.0,7.0,7.0,4.0,40.0,3.3,1.0
34,4388,3,1.4142135623730951,7.0,7.0,4.0,41.0,3.3,1.0
35,14328,1,1.004987562112089,1.0,1.0,3.0,28.0,2.8,1.0
35,14328,2,1.063014581273465,2.0,1.0,4.0,28.3,2.9,1.0
35,14328,3,1.4142135623730951,1.0,1.0,3.0,27.0,2.7,1.0
36,10855,1,0.20000000000000018,6.0,2.0,4.0,35.0,3.0,1.0
36,10855,2,1.1224972160321824,5.0,2.0,4.0,34.5,2.9,1.0
36,10855,3,1.4142135623730951,5.0,3.0,4.0,35.0,2.8,1.0
37,4259,1,0.5099019513592785,3.0,2.0,3.0,31.0,3.4,1.0
37,4259,2,0.6403124237432851,3.0,2.0,3.0,30.0,3.7,1.0
37,4259,3,1.004987562112089,2.0,2.0,3.0,30.5,3.4,1.0
38,13649,1,0.10000000000000009,2.0,2.0,3.0,31.0,3.6,1.0
38,13649,2,0.20000000000000018,2.0,2.0,3.0,31.0,3.5,1.0
38,13649,3,0.5830951894845302,2.0,2.0,3.0,30.5,3.4,1.0
39,20092,1,1.4352700094407325,1.0,2.0,4.0,26.5,3.2,1.0
39,20092,2,1.445683229480096,1.0,1.0,5.0,27.0,2.6,1.0
39,20092,3,1.469693845669907,1.0,1.0,3.0,27.0,2.7,1.0
40,6318,1,2.1563858652847823,5.0,3.0,2.0,22.0,2.8,2.0
40,6318,2,2.641968962724581,4.0,2.0,3.0,23.0,2.9,1.0
40,6318,3,2.8513154858766505,8.0,4.0,3.0,21.5,2.9,1.0
41,12065,1,0.0,1.0,1.0,1.0,26.5,3.9,1.0
41,12065,2,1.5,1.0,1.0,2.0,27.0,2.9,1.0
41,12065,3,1.7146428199482244,1.0,1.0,2.0,27.0,2.6,1.0
42,14644,1,0.0,3.0,2.0,3.0,25.5,3.1,1.0
42,14644,2,1.0198039027185568,2.0,2.0,3.0,25.5,3.3,1.0
42,14644,3,1.1357816691600546,2.0,2.0,3.0,25.0,2.9,1.0
43,1869,1,0.6000000000000001,3.0,2.0,5.0,35.0,2.8,1.0
43,1869,2,0.6000000000000001,3.0,2.0,5.0,35.0,2.8,1.0
43,1869,3,1.004987562112089,2.0,2.0,5.0,35.0,3.3,1.0
44,19913,1,0.0,3.0,3.0,3.0,32.0,2.5,1.0
44,19913,2,0.10000000000000009,3.0,3.0,3.0,32.0,2.6,1.0
44,19913,3,0.2999999999999998,3.0,3.0,3.0,32.0,2.8,1.0
45,6314,1,1.0440306508910548,2.0,1.0,3.0,30.0,3.5,1.0
45,6314,2,1.0770329614269007,2.0,2.0,2.0,30.0,3.6,1.0
45,6314,3,1.077032961426901,1.0,1.0,2.0,30.0,2.8,1.0
46,18623,1,0.0,2.0,2.0,3.0,37.5,2.6,1.0
46,18623,2,0.5,2.0,2.0,3.0,38.0,2.6,1.0
46,18623,3,0.7810249675906655,2.0,2.0,3.0,37.0,3.2,1.0
47,6661,1,0.10000000000000009,3.0,2.0,3.0,35.5,3.1,1.0
47,6661,2,0.20000000000000018,3.0,2.0,3.0,35.5,3.0,1.0
47,6661,3,0.5099019513592785,3.0,2.0,3.0,35.0,3.1,1.0
48,10353,1,0.22360679774997838,3.0,2.0,3.0,29.5,3.0,1.0
48,10353,2,1.0392304845413263,3.0,3.0,3.0,29.5,3.1,1.0
48,10353,3,1.0630145812734646,3.0,2.0,3.0,30.0,3.7,1.0
49,3330,1,0.0,2.0,2.0,3.0,30.5,3.4,1.0
49,3330,2,0.5099019513592785,2.0,2.0,3.0,30.0,3.5,1.0
49,3330,3,0.5099019513592785,2.0,2.0,3.0,31.0,3.5,1.0
50,19741,1,1.004987562112089,2.0,2.0,3.0,25.0,2.4,1.0
50,19741,2,1.0770329614269007,2.0,2.0,3.0,25.0,2.9,1.0
50,19741,3,1.3747727084867518,2.0,2.0,3.0,25.5,3.3,1.0
51,18011,1,1.004987562112089,1.0,1.0,4.0,24.0,2.5,1.0
51,18011,2,1.1357816691600546,1.0,1.0,4.0,23.5,2.8,1.0
51,18011,3,1.445683229480096,1.0,2.0,2.0,24.0,2.9,1.0
52,16712,1,0.0,2.0,1.0,2.0,39.0,3.0,1.0
52,16712,2,1.004987562112089,2.0,2.0,2.0,39.0,3.1,1.0
52,16712,3,1.019803902718557,2.0,1.0,3.0,39.0,2.8,1.0
53,6141,1,0.0,3.0,1.0,5.0,33.0,3.2,1.0
53,6141,2,1.004987562112089,3.0,2.0,5.0,33.0,3.3,1.0
53,6141,3,1.4177446878757824,3.0,2.0,4.0,33.0,3.3,1.0
54,2844,1,0.0,5.0,4.0,4.0,36.0,3.4,1.0
54,2844,2,0.0,5.0,4.0,4.0,36.0,3.4,1.0
54,2844,3,0.19999999999999973,5.0,4.0,4.0,36.0,3.2,1.0
55,2276,1,1.044030650891055,1.0,1.0,4.0,27.0,3.7,1.0
55,2276,2,1.1357816691600546,1.0,2.0,4.0,26.5,3.2,1.0
55,2276,3,1.42828568570857,2.0,1.0,4.0,27.0,3.6,1.0
56,10037,1,0.6403124237432848,4.0,6.0,4.0,33.0,3.3,1.0
56,10037,2,0.9433981132056606,4.0,6.0,4.0,33.0,3.7,1.0
56,10037,3,1.1357816691600546,5.0,6.0,4.0,33.0,2.7,1.0
57,18437,1,1.0954451150103321,1.0,1.0,3.0,31.3,3.0,1.0
57,18437,2,1.118033988749895,2.0,1.0,4.0,32.0,2.6,1.0
57,18437,3,1.118033988749895,2.0,1.0,4.0,32.0,2.6,1.0
58,18167,1,1.42828568570857,5.0,3.0,2.0,22.0,2.8,2.0
58,18167,2,1.7578395831246945,3.0,3.0,3.0,23.0,2.9,1.0
58,18167,3,1.7578395831246945,4.0,2.0,3.0,23.0,2.9,1.0
59,2505,1,0.0,4.0,4.0,3.0,31.0,3.4,1.0
59,2505,2,0.20000000000000018,4.0,4.0,3.0,31.0,3.6,1.0
59,2505,3,0.2999999999999998,4.0,4.0,3.0,31.0,3.1,1.0
60,16278,1,0.6000000000000001,1.0,1.0,4.0,37.0,3.7,1.0
60,16278,2,0.6000000000000001,1.0,1.0,4.0,37.0,3.7,1.0
60,16278,3,1.0,2.0,1.0,4.0,37.0,3.1,1.0
61,11598,1,0.9000000000000004,2.0,1.0,3.0,36.0,3.7,1.0
61,11598,2,1.0,2.0,1.0,4.0,36.0,2.8,1.0
61,11598,3,1.0,1.0,1.0,3.0,36.0,2.8,1.0
62,5477,1,1.22065556157337,6.0,5.0,3.0,31.0,2.9,1.0
62,5477,2,1.2569805089976536,6.0,5.0,3.0,31.3,2.9,1.0
62,5477,3,1.2806248474865696,6.0,4.0,2.0,31.0,3.0,1.0
63,133,1,0.7071067811865476,5.0,3.0,4.0,33.5,3.0,1.0
63,133,2,1.0,5.0,3.0,4.0,34.0,3.5,1.0
63,133,3,1.0,5.0,3.0,3.0,33.0,3.5,1.0
64,9637,1,1.1575836902790226,1.0,1.0,3.0,34.0,3.2,1.0
64,9637,2,1.1575836902790226,1.0,1.0,3.0,34.0,3.2,1.0
64,9637,3,1.1874342087037917,1.0,1.0,3.0,34.0,3.3,1.0
65,18127,1,0.0,1.0,3.0,2.0,24.0,2.6,1.0
65,18127,2,1.0440306508910548,1.0,2.0,2.0,24.0,2.9,1.0
65,18127,3,2.009975124224178,2.0,2.0,3.0,25.0,2.4,1.0
66,13939,1,0.20000000000000018,1.0,1.0,4.0,39.0,2.5,1.0
66,13939,2,0.7999999999999998,1.0,1.0,4.0,39.0,3.5,1.0
66,13939,3,1.004987562112089,1.0,1.0,4.0,40.0,2.8,1.0
67,5916,1,0.0,1.0,2.0,4.0,26.5,3.2,1.0
67,5916,2,1.224744871391589,1.0,1.0,4.0,27.0,3.7,1.0
67,5916,3,1.319090595827292,1.0,2.0,5.0,27.0,2.5,1.0
68,19771,1,1.0440306508910548,1.0,1.0,3.0,36.0,2.8,1.0
68,19771,2,1.0440306508910548,1.0,1.0,3.0,38.0,2.8,1.0
68,19771,3,1.0770329614269007,1.0,1.0,3.0,36.0,2.9,1.0
69,795,1,1.0770329614269007,1.0,1.0,1.0,26.5,3.9,1.0
69,795,2,1.2688577540449522,1.0,1.0,2.0,27.0,2.9,1.0
69,795,3,1.4352700094407322,1.0,1.0,2.0,27.0,2.6,1.0
70,6325,1,0.19999999999999973,2.0,2.0,4.0,34.0,3.4,1.0
70,6325,2,0.2999999999999998,2.0,2.0,4.0,34.0,3.5,1.0
70,6325,3,0.40000000000000036,2.0,2.0,4.0,34.0,2.8,1.0
71,3387,1,0.5385164807134505,2.0,1.0,2.0,36.0,3.6,1.0
71,3387,2,1.0295630140987,2.0,1.0,2.0,35.0,2.5,1.0
71,3387,3,1.118033988749895,3.0,1.0,2.0,36.0,3.4,1.0
72,464,1,0.0,2.0,1.0,3.0,30.0,3.5,1.0
72,464,2,1.0,2.0,2.0,3.0,30.0,3.5,1.0
72,464,3,1.0,1.0,1.0,3.0,30.0,3.5,1.0
73,16392,1,0.58309518948453,3.0,2.0,3.0,31.0,3.4,1.0
73,16392,2,1.118033988749895,3.0,3.0,3.0,32.0,3.1,1.0
73,16392,3,1.118033988749895,4.0,2.0,3.0,31.0,3.1,1.0
74,4294,1,0.2999999999999998,4.0,5.0,4.0,35.0,3.0,1.0
74,4294,2,0.3999999999999999,4.0,5.0,4.0,35.0,2.9,1.0
74,4294,3,0.3999999999999999,4.0,5.0,4.0,35.0,2.9,1.0
75,9991,1,1.4142135623730951,1.0,2.0,2.0,24.0,2.9,1.0
75,9991,2,1.445683229480096,1.0,1.0,2.0,23.0,3.2,1.0
75,9991,3,2.009975124224178,2.0,2.0,1.0,25.0,2.7,2.0
76,10911,1,0.0,1.0,1.0,5.0,35.0,2.8,1.0
76,10911,2,1.1575836902790226,1.0,1.0,4.0,35.5,3.1,1.0
76,10911,3,1.4177446878757827,2.0,1.0,4.0,35.0,2.9,1.0
77,2606,1,0.0,3.0,2.0,3.0,31.0,3.4,1.0
77,2606,2,1.004987562112089,3.0,2.0,4.0,31.0,3.3,1.0
77,2606,3,1.004987562112089,2.0,2.0,3.0,31.0,3.5,1.0
78,7338,1,0.10000000000000009,2.0,2.0,3.0,35.0,3.1,1.0
78,7338,2,0.40000000000000036,2.0,2.0,3.0,35.0,2.8,1.0
78,7338,3,0.5,2.0,2.0,3.0,35.0,3.7,1.0
79,7134,1,0.5099019513592785,1.0,1.0,4.0,35.5,3.1,1.0
79,7134,2,1.0198039027185568,1.0,2.0,4.0,35.0,3.4,1.0
79,7134,3,1.019803902718557,2.0,1.0,4.0,35.0,3.0,1.0
80,6799,1,0.19999999999999973,4.0,3.0,4.0,36.0,3.4,1.0
80,6799,2,0.2999999999999998,4.0,3.0,4.0,36.0,3.5,1.0
80,6799,3,0.5,4.0,3.0,4.0,36.0,3.7,1.0
81,7767,1,0.6000000000000001,2.0,1.0,3.0,41.0,3.0,1.0
81,7767,2,1.28062484748657,2.0,2.0,3.0,41.0,3.2,1.0
81,7767,3,1.28062484748657,2.0,1.0,4.0,41.0,3.2,1.0
82,18557,1,0.3605551275463984,2.0,1.0,4.0,28.3,2.9,1.0
82,18557,2,0.6403124237432848,2.0,1.0,4.0,29.0,3.0,1.0
82,18557,3,1.019803902718557,2.0,1.0,5.0,28.5,2.4,1.0
83,18207,1,0.0,2.0,1.0,4.0,40.0,2.6,1.0
83,18207,2,0.3999999999999999,2.0,1.0,4.0,40.0,2.2,1.0
83,18207,3,1.004987562112089,1.0,1.0,4.0,40.0,2.5,1.0
84,16495,1,1.0440306508910548,2.0,2.0,2.0,29.0,2.7,1.0
84,16495,2,1.118033988749895,3.0,2.0,3.0,29.5,3.0,1.0
84,16495,3,1.1224972160321824,3.0,3.0,2.0,29.5,2.9,1.0
85,16584,1,0.0,4.0,4.0,4.0,32.5,3.0,1.0
85,16584,2,0.5099019513592785,4.0,4.0,4.0,33.0,3.1,1.0
85,16584,3,0.58309518948453,4.0,4.0,4.0,32.0,3.3,1.0
86,8930,1,1.019803902718557,1.0,1.0,3.0,31.0,3.4,1.0
86,8930,2,1.118033988749895,1.0,1.0,1.0,31.0,3.1,1.0
86,8930,3,1.1661903789690602,1.0,2.0,2.0,31.0,3.0,1.0
87,11616,1,0.30000000000000027,3.0,3.0,3.0,34.0,3.1,1.0
87,11616,2,0.30000000000000027,3.0,3.0,3.0,34.0,3.1,1.0
87,11616,3,1.0,4.0,3.0,3.0,34.0,2.8,1.0
88,19664,1,1.004987562112089,3.0,3.0,3.0,41.0,2.6,1.0
88,19664,2,1.118033988749895,4.0,3.0,3.0,40.0,3.0,1.0
88,19664,3,1.1661903789690602,3.0,3.0,4.0,40.0,3.1,1.0
89,10862,1,0.0,3.0,3.0,4.0,32.0,2.8,1.0
89,10862,2,1.0,3.0,3.0,3.0,32.0,2.8,1.0
89,10862,3,1.004987562112089,3.0,3.0,3.0,32.0,2.9,1.0
90,10507,1,0.10000000000000009,2.0,1.0,3.0,39.0,2.8,1.0
90,10507,2,0.7000000000000002,2.0,1.0,3.0,39.0,3.6,1.0
90,10507,3,1.004987562112089,2.0,1.0,2.0,39.0,3.0,1.0
91,400,1,0.0,2.0,2.0,5.0,32.0,3.5,1.0
91,400,2,1.0770329614269007,2.0,1.0,5.0,32.0,3.1,1.0
91,400,3,1.1661903789690602,2.0,2.0,4.0,32.0,2.9,1.0
92,9788,1,1.004987562112089,4.0,1.0,3.0,37.0,3.0,1.0
92,9788,2,1.004987562112089,3.0,2.0,3.0,37.0,3.0,1.0
92,9788,3,1.044030650891055,3.0,2.0,3.0,37.0,3.2,1.0
93,740,1,0.0,1.0,2.0,4.0,31.0,3.5,1.0
93,740,2,0.6000000000000001,1.0,2.0,4.0,31.0,2.9,1.0
93,740,3,0.7071067811865476,1.0,2.0,4.0,31.5,3.0,1.0
94,17677,1,0.7000000000000002,2.0,1.0,3.0,36.0,3.7,1.0
94,17677,2,1.004987562112089,1.0,1.0,3.0,36.0,2.9,1.0
94,17677,3,1.004987562112089,1.0,1.0,3.0,36.0,3.1,1.0
95,18473,1,1.004987562112089,1.0,1.0,3.0,27.0,2.7,1.0
95,18473,2,1.4142135623730951,1.0,1.0,2.0,27.0,2.6,1.0
95,18473,3,1.4142135623730951,2.0,1.0,4.0,27.0,3.6,1.0
96,10747,1,0.30000000000000027,1.0,1.0,4.0,31.0,3.1,1.0
96,10747,2,0.3999999999999999,1.0,1.0,4.0,31.0,2.4,1.0
96,10747,3,1.004987562112089,1.0,2.0,4.0,31.0,2.9,1.0
97,9517,1,1.0,2.0,1.0,4.0,32.0,2.9,1.0
97,9517,2,1.004987562112089,2.0,1.0,4.0,32.0,2.8,1.0
97,9517,3,1.019803902718557,1.0,1.0,4.0,31.0,3.1,1.0
98,16775,1,0.5,1.0,1.0,4.0,42.0,3.5,1.0
98,16775,2,0.5,1.0,1.0,4.0,42.0,2.5,1.0
98,16775,3,0.5,1.0,1.0,4.0,42.0,3.5,1.0
99,6310,1,0.0,3.0,2.0,5.0,37.0,3.2,1.0
99,6310,2,1.0,3.0,2.0,4.0,37.0,3.2,1.0
99,6310,3,1.004987562112089,3.0,3.0,5.0,37.0,3.1,1.0
100,7742,1,0.0,2.0,2.0,3.0,25.0,2.4,1.0
100,7742,2,0.5,2.0,2.0,3.0,25.0,2.9,1.0
100,7742,3,1.0295630140987,2.0,2.0,3.0,25.5,3.3,1.0
101,20368,1,1.22065556157337,1.0,1.0,2.0,30.0,2.8,1.0
101,20368,2,1.4,1.0,1.0,3.0,30.0,3.5,1.0
101,20368,3,1.445683229480096,1.0,1.0,4.0,31.0,2.4,1.0
102,20218,1,0.0,5.0,5.0,3.0,23.0,2.3,1.0
102,20218,2,1.9519221295943137,6.0,6.0,3.0,24.0,3.2,1.0
102,20218,3,2.154065922853802,4.0,4.0,4.0,24.0,3.1,1.0
103,19932,1,0.0,2.0,1.0,2.0,35.0,2.5,1.0
103,19932,2,1.118033988749895,1.0,1.0,2.0,35.0,3.0,1.0
103,19932,3,1.2806248474865696,2.0,1.0,3.0,35.0,3.3,1.0
104,18404,1,1.22065556157337,4.0,2.0,5.0,30.0,3.3,1.0
104,18404,2,1.5,3.0,1.0,4.0,30.0,3.1,1.0
104,18404,3,1.5811388300841898,5.0,1.0,4.0,29.5,3.1,1.0
105,15928,1,0.0,3.0,4.0,4.0,32.0,3.1,1.0
105,15928,2,1.0,3.0,4.0,4.0,33.0,3.1,1.0
105,15928,3,1.0198039027185568,4.0,4.0,4.0,32.0,3.3,1.0
106,11545,1,0.19999999999999973,3.0,2.0,4.0,37.0,2.6,1.0
106,11545,2,0.20000000000000018,3.0,2.0,4.0,37.0,3.0,1.0
106,11545,3,0.2999999999999998,3.0,2.0,4.0,37.0,2.5,1.0
107,19902,1,0.7810249675906655,2.0,1.0,4.0,30.5,3.1,1.0
107,19902,2,1.004987562112089,2.0,1.0,4.0,32.0,2.6,1.0
107,19902,3,1.004987562112089,1.0,1.0,4.0,31.0,2.4,1.0
108,11636,1,0.0,1.0,1.0,5.0,38.0,2.8,2.0
108,11636,2,1.004987562112089,1.0,1.0,5.0,38.0,2.9,1.0
108,11636,3,1.445683229480096,1.0,1.0,5.0,37.0,2.5,1.0
109,15078,1,1.004987562112089,1.0,2.0,2.0,29.0,3.0,1.0
109,15078,2,1.044030650891055,1.0,1.0,2.0,30.0,2.8,1.0
