instance_index,feature_name,feature_type,percentage_changed,num_changed,num_total,original_value,distribution,unique_values,average_change,min_change,max_change,std_change
0,Dalc,numerical,0.0,0,3,1.0,,,,,,
0,Fedu,categorical,0.0,0,3,1.0,{},,,,,
0,Fjob_at_home,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
0,Fjob_health,categorical,0.0,0,3,0.0,{},,,,,
0,Fjob_other,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
0,Fjob_services,categorical,0.0,0,3,0.0,{},,,,,
0,Fjob_teacher,categorical,0.0,0,3,0.0,{},,,,,
0,Medu,categorical,0.0,0,3,1.0,{},,,,,
0,Mjob_at_home,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
0,Mjob_health,categorical,0.0,0,3,0.0,{},,,,,
0,Mjob_other,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
0,Mjob_services,categorical,0.0,0,3,0.0,{},,,,,
0,Mjob_teacher,categorical,0.0,0,3,0.0,{},,,,,
0,Pstatus,categorical,0.0,0,3,1.0,{},,,,,
0,Walc,numerical,33.33,1,3,1.0,,,1.0,1.0,1.0,0.0
0,absences,numerical,33.33,1,3,9.0,,,1.0,1.0,1.0,0.0
0,activities,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
0,age,numerical,66.67,2,3,18.0,,,-1.0,-1.0,-1.0,0.0
0,failures,numerical,66.67,2,3,1.0,,,-1.0,-1.0,-1.0,0.0
0,famrel,numerical,0.0,0,3,4.0,,,,,,
0,famsize,categorical,0.0,0,3,0.0,{},,,,,
0,famsup,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
0,freetime,numerical,0.0,0,3,3.0,,,,,,
0,goout,numerical,0.0,0,3,2.0,,,,,,
0,guardian_father,categorical,0.0,0,3,0.0,{},,,,,
0,guardian_mother,categorical,0.0,0,3,1.0,{},,,,,
0,guardian_other,categorical,0.0,0,3,0.0,{},,,,,
0,health,numerical,33.33,1,3,5.0,,,-1.0,-1.0,-1.0,0.0
0,higher,categorical,0.0,0,3,1.0,{},,,,,
0,internet,categorical,66.67,2,3,1.0,"{""0.0"": 2}",0.0,,,,
0,nursery,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
0,paid,categorical,0.0,0,3,0.0,{},,,,,
0,reason_course,categorical,66.67,2,3,0.0,"{""1.0"": 2}",1.0,,,,
0,reason_home,categorical,0.0,0,3,0.0,{},,,,,
0,reason_other,categorical,66.67,2,3,1.0,"{""0.0"": 2}",0.0,,,,
0,reason_reputation,categorical,0.0,0,3,0.0,{},,,,,
0,romantic,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
0,schoolsup,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
0,sex,categorical,0.0,0,3,0.0,{},,,,,
0,studytime,categorical,33.33,1,3,2.0,"{""1.0"": 1}",1.0,,,,
0,traveltime,categorical,0.0,0,3,1.0,{},,,,,
1,Dalc,numerical,66.67,2,3,2.0,,,-1.0,-1.0,-1.0,0.0
1,Fedu,categorical,33.33,1,3,2.0,"{""1.0"": 1}",1.0,,,,
1,Fjob_at_home,categorical,0.0,0,3,0.0,{},,,,,
1,Fjob_health,categorical,0.0,0,3,0.0,{},,,,,
1,Fjob_other,categorical,0.0,0,3,1.0,{},,,,,
1,Fjob_services,categorical,0.0,0,3,0.0,{},,,,,
1,Fjob_teacher,categorical,0.0,0,3,0.0,{},,,,,
1,Medu,categorical,33.33,1,3,2.0,"{""3.0"": 1}",3.0,,,,
1,Mjob_at_home,categorical,0.0,0,3,0.0,{},,,,,
1,Mjob_health,categorical,0.0,0,3,0.0,{},,,,,
1,Mjob_other,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
1,Mjob_services,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
1,Mjob_teacher,categorical,0.0,0,3,0.0,{},,,,,
1,Pstatus,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
1,Walc,numerical,33.33,1,3,3.0,,,-1.0,-1.0,-1.0,0.0
1,absences,numerical,33.33,1,3,0.0,,,2.0,2.0,2.0,0.0
1,activities,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
1,age,numerical,33.33,1,3,17.0,,,-1.0,-1.0,-1.0,0.0
1,failures,numerical,66.67,2,3,1.0,,,-1.0,-1.0,-1.0,0.0
1,famrel,numerical,33.33,1,3,1.0,,,2.0,2.0,2.0,0.0
1,famsize,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
1,famsup,categorical,0.0,0,3,0.0,{},,,,,
1,freetime,numerical,33.33,1,3,2.0,,,1.0,1.0,1.0,0.0
1,goout,numerical,66.67,2,3,1.0,,,1.5,1.0,2.0,0.5
1,guardian_father,categorical,0.0,0,3,0.0,{},,,,,
1,guardian_mother,categorical,0.0,0,3,1.0,{},,,,,
1,guardian_other,categorical,0.0,0,3,0.0,{},,,,,
1,health,numerical,33.33,1,3,5.0,,,-2.0,-2.0,-2.0,0.0
1,higher,categorical,0.0,0,3,1.0,{},,,,,
1,internet,categorical,0.0,0,3,0.0,{},,,,,
1,nursery,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
1,paid,categorical,0.0,0,3,0.0,{},,,,,
1,reason_course,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
1,reason_home,categorical,0.0,0,3,0.0,{},,,,,
1,reason_other,categorical,0.0,0,3,0.0,{},,,,,
1,reason_reputation,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
1,romantic,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
1,schoolsup,categorical,0.0,0,3,0.0,{},,,,,
1,sex,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
1,studytime,categorical,33.33,1,3,1.0,"{""2.0"": 1}",2.0,,,,
1,traveltime,categorical,66.67,2,3,1.0,"{""2.0"": 2}",2.0,,,,
2,Dalc,numerical,33.33,1,3,2.0,,,-1.0,-1.0,-1.0,0.0
2,Fedu,categorical,33.33,1,3,2.0,"{""4.0"": 1}",4.0,,,,
2,Fjob_at_home,categorical,0.0,0,3,0.0,{},,,,,
2,Fjob_health,categorical,0.0,0,3,0.0,{},,,,,
2,Fjob_other,categorical,0.0,0,3,1.0,{},,,,,
2,Fjob_services,categorical,0.0,0,3,0.0,{},,,,,
2,Fjob_teacher,categorical,0.0,0,3,0.0,{},,,,,
2,Medu,categorical,33.33,1,3,3.0,"{""2.0"": 1}",2.0,,,,
2,Mjob_at_home,categorical,0.0,0,3,0.0,{},,,,,
2,Mjob_health,categorical,0.0,0,3,0.0,{},,,,,
2,Mjob_other,categorical,0.0,0,3,0.0,{},,,,,
2,Mjob_services,categorical,0.0,0,3,1.0,{},,,,,
2,Mjob_teacher,categorical,0.0,0,3,0.0,{},,,,,
2,Pstatus,categorical,0.0,0,3,1.0,{},,,,,
2,Walc,numerical,66.67,2,3,4.0,,,-1.0,-1.0,-1.0,0.0
2,absences,numerical,33.33,1,3,8.0,,,-2.0,-2.0,-2.0,0.0
2,activities,categorical,0.0,0,3,0.0,{},,,,,
2,age,numerical,66.67,2,3,18.0,,,-1.0,-1.0,-1.0,0.0
2,failures,numerical,0.0,0,3,0.0,,,,,,
2,famrel,numerical,0.0,0,3,4.0,,,,,,
2,famsize,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
2,famsup,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
2,freetime,numerical,0.0,0,3,4.0,,,,,,
2,goout,numerical,33.33,1,3,5.0,,,-1.0,-1.0,-1.0,0.0
2,guardian_father,categorical,0.0,0,3,0.0,{},,,,,
2,guardian_mother,categorical,0.0,0,3,1.0,{},,,,,
2,guardian_other,categorical,0.0,0,3,0.0,{},,,,,
2,health,numerical,0.0,0,3,5.0,,,,,,
2,higher,categorical,66.67,2,3,0.0,"{""1.0"": 2}",1.0,,,,
2,internet,categorical,0.0,0,3,1.0,{},,,,,
2,nursery,categorical,0.0,0,3,1.0,{},,,,,
2,paid,categorical,0.0,0,3,0.0,{},,,,,
2,reason_course,categorical,0.0,0,3,1.0,{},,,,,
2,reason_home,categorical,0.0,0,3,0.0,{},,,,,
2,reason_other,categorical,0.0,0,3,0.0,{},,,,,
2,reason_reputation,categorical,0.0,0,3,0.0,{},,,,,
2,romantic,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
2,schoolsup,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
2,sex,categorical,66.67,2,3,1.0,"{""0.0"": 2}",0.0,,,,
2,studytime,categorical,66.67,2,3,1.0,"{""3.0"": 1, ""2.0"": 1}","3.0,2.0",,,,
2,traveltime,categorical,33.33,1,3,2.0,"{""1.0"": 1}",1.0,,,,
3,Dalc,numerical,0.0,0,3,1.0,,,,,,
3,Fedu,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
3,Fjob_at_home,categorical,0.0,0,3,0.0,{},,,,,
3,Fjob_health,categorical,0.0,0,3,0.0,{},,,,,
3,Fjob_other,categorical,0.0,0,3,1.0,{},,,,,
3,Fjob_services,categorical,0.0,0,3,0.0,{},,,,,
3,Fjob_teacher,categorical,0.0,0,3,0.0,{},,,,,
3,Medu,categorical,66.67,2,3,2.0,"{""1.0"": 2}",1.0,,,,
3,Mjob_at_home,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
3,Mjob_health,categorical,0.0,0,3,0.0,{},,,,,
3,Mjob_other,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
3,Mjob_services,categorical,0.0,0,3,0.0,{},,,,,
3,Mjob_teacher,categorical,0.0,0,3,0.0,{},,,,,
3,Pstatus,categorical,0.0,0,3,1.0,{},,,,,
3,Walc,numerical,0.0,0,3,1.0,,,,,,
3,absences,numerical,0.0,0,3,0.0,,,,,,
3,activities,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
3,age,numerical,66.67,2,3,17.0,,,-1.0,-1.0,-1.0,0.0
3,failures,numerical,33.33,1,3,3.0,,,-3.0,-3.0,-3.0,0.0
3,famrel,numerical,33.33,1,3,4.0,,,-1.0,-1.0,-1.0,0.0
3,famsize,categorical,0.0,0,3,0.0,{},,,,,
3,famsup,categorical,0.0,0,3,1.0,{},,,,,
3,freetime,numerical,66.67,2,3,5.0,,,-1.5,-2.0,-1.0,0.5
3,goout,numerical,66.67,2,3,1.0,,,1.5,1.0,2.0,0.5
3,guardian_father,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
3,guardian_mother,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
3,guardian_other,categorical,0.0,0,3,0.0,{},,,,,
3,health,numerical,33.33,1,3,3.0,,,-2.0,-2.0,-2.0,0.0
3,higher,categorical,66.67,2,3,0.0,"{""1.0"": 2}",1.0,,,,
3,internet,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
3,nursery,categorical,0.0,0,3,1.0,{},,,,,
3,paid,categorical,0.0,0,3,0.0,{},,,,,
3,reason_course,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
3,reason_home,categorical,66.67,2,3,1.0,"{""0.0"": 2}",0.0,,,,
3,reason_other,categorical,0.0,0,3,0.0,{},,,,,
3,reason_reputation,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
3,romantic,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
3,schoolsup,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
3,sex,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
3,studytime,categorical,66.67,2,3,1.0,"{""2.0"": 2}",2.0,,,,
3,traveltime,categorical,0.0,0,3,2.0,{},,,,,
4,Dalc,numerical,0.0,0,3,1.0,,,,,,
4,Fedu,categorical,33.33,1,3,2.0,"{""1.0"": 1}",1.0,,,,
4,Fjob_at_home,categorical,0.0,0,3,0.0,{},,,,,
4,Fjob_health,categorical,0.0,0,3,0.0,{},,,,,
4,Fjob_other,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
4,Fjob_services,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
4,Fjob_teacher,categorical,0.0,0,3,0.0,{},,,,,
4,Medu,categorical,33.33,1,3,1.0,"{""3.0"": 1}",3.0,,,,
4,Mjob_at_home,categorical,0.0,0,3,0.0,{},,,,,
4,Mjob_health,categorical,0.0,0,3,0.0,{},,,,,
4,Mjob_other,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
4,Mjob_services,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
4,Mjob_teacher,categorical,0.0,0,3,0.0,{},,,,,
4,Pstatus,categorical,0.0,0,3,1.0,{},,,,,
4,Walc,numerical,33.33,1,3,2.0,,,-1.0,-1.0,-1.0,0.0
4,absences,numerical,0.0,0,3,4.0,,,,,,
4,activities,categorical,0.0,0,3,0.0,{},,,,,
4,age,numerical,66.67,2,3,16.0,,,0.0,-1.0,1.0,1.0
4,failures,numerical,0.0,0,3,0.0,,,,,,
4,famrel,numerical,66.67,2,3,5.0,,,-1.0,-1.0,-1.0,0.0
4,famsize,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
4,famsup,categorical,66.67,2,3,0.0,"{""1.0"": 2}",1.0,,,,
4,freetime,numerical,33.33,1,3,3.0,,,1.0,1.0,1.0,0.0
4,goout,numerical,66.67,2,3,5.0,,,-1.0,-1.0,-1.0,0.0
4,guardian_father,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
4,guardian_mother,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
4,guardian_other,categorical,0.0,0,3,0.0,{},,,,,
4,health,numerical,0.0,0,3,5.0,,,,,,
4,higher,categorical,66.67,2,3,0.0,"{""1.0"": 2}",1.0,,,,
4,internet,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
4,nursery,categorical,0.0,0,3,1.0,{},,,,,
4,paid,categorical,0.0,0,3,0.0,{},,,,,
4,reason_course,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
4,reason_home,categorical,0.0,0,3,0.0,{},,,,,
4,reason_other,categorical,0.0,0,3,0.0,{},,,,,
4,reason_reputation,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
4,romantic,categorical,0.0,0,3,0.0,{},,,,,
4,schoolsup,categorical,0.0,0,3,0.0,{},,,,,
4,sex,categorical,0.0,0,3,0.0,{},,,,,
4,studytime,categorical,66.67,2,3,1.0,"{""2.0"": 2}",2.0,,,,
4,traveltime,categorical,0.0,0,3,1.0,{},,,,,
