instance_index,original_test_index,sex,age,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,guardian_father,guardian_mother,guardian_other,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,predicted_class,prediction_score,target_student
0,376,0,18,0,1,1,1,2,3,0,0,0,0,1,1,1,1,0,4,5,5,1,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.08,0
1,142,1,18,1,1,3,1,2,1,0,0,0,0,1,1,1,1,1,3,3,4,4,5,4,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.17,0
2,43,1,15,0,1,2,2,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.13,0
3,162,1,15,1,0,2,1,4,1,0,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.31,0
4,351,1,20,0,0,3,2,1,1,2,0,0,0,1,1,1,0,0,5,5,3,1,1,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.32,0
5,120,0,15,0,1,1,2,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.06,0
6,150,0,15,0,0,3,3,1,2,0,0,0,0,0,0,1,0,1,1,3,2,2,3,1,24,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.08,1
7,190,0,16,0,1,2,2,2,2,0,0,0,0,1,0,1,1,0,3,4,4,1,4,5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.04,0
8,11,0,15,0,1,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.05,0
9,48,1,15,0,1,4,2,1,2,0,0,1,0,0,1,1,0,0,4,3,3,2,2,5,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.06,0
10,85,0,15,0,1,4,4,2,2,0,0,0,0,0,1,1,1,1,4,4,4,2,3,5,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.2,0
11,439,0,15,0,1,3,3,2,1,0,0,0,0,0,0,1,1,0,4,1,3,1,1,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.07,0
12,332,0,18,0,1,2,2,1,3,0,0,1,0,0,1,1,1,0,4,3,3,1,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.05,0
13,276,1,16,0,1,2,1,3,1,0,0,0,0,0,1,1,1,0,4,3,3,1,1,4,7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.1,0
14,156,0,15,0,1,1,1,1,2,0,0,1,0,0,1,1,1,0,4,4,2,1,2,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.08,0
15,13,1,15,0,1,4,3,2,2,0,0,1,0,0,1,1,1,0,5,4,3,1,2,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.05,0
16,131,0,18,0,1,2,1,1,2,3,0,1,0,1,1,0,1,1,5,4,5,1,3,5,10,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.39,1
17,384,1,19,0,1,3,2,1,1,0,0,1,0,0,0,1,0,1,5,3,4,2,2,5,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.19,0
18,159,0,15,0,1,1,2,1,2,0,0,1,0,0,0,1,1,0,4,3,2,1,1,5,6,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.12,0
19,575,0,18,0,0,4,3,1,1,0,0,1,0,0,1,1,1,0,5,4,4,3,4,2,8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.15,0
20,594,0,18,0,1,4,4,2,2,0,0,0,0,1,0,1,1,0,4,3,5,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.03,0
21,82,0,15,1,1,3,2,1,2,0,0,1,0,0,1,1,1,0,4,4,4,1,1,5,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.04,0
22,132,0,17,1,0,2,1,3,1,0,0,1,0,0,1,1,1,0,3,2,2,1,2,5,8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.2,0
23,593,0,18,1,0,1,2,2,2,0,0,0,0,0,1,1,1,0,4,4,3,1,2,4,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.03,0
24,610,0,19,0,0,1,1,2,2,3,0,1,0,1,1,0,0,1,3,5,4,1,4,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.38,1
25,363,0,18,0,1,3,4,1,1,0,0,1,0,1,1,1,1,1,5,4,4,1,1,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.12,0
26,266,0,17,1,0,4,2,1,2,0,0,1,0,1,1,1,0,0,4,3,2,1,1,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.06,0
27,495,0,16,0,1,3,3,1,1,0,0,0,0,1,1,0,1,1,4,5,4,1,1,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.23,0
28,57,1,15,0,1,4,4,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,8,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.07,0
29,300,0,18,0,1,4,3,1,2,0,0,1,0,0,1,1,1,1,3,1,2,1,3,2,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.05,0
30,562,0,16,1,1,2,2,1,2,0,0,0,0,1,1,1,0,1,5,4,3,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.02,0
31,267,1,17,1,1,4,3,2,2,0,0,0,0,1,1,1,1,1,2,5,5,1,4,5,8,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.09,0
32,391,0,17,0,1,3,4,1,3,0,0,0,0,0,1,1,1,0,4,4,5,1,3,5,8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.04,0
33,336,1,18,0,1,4,2,1,2,0,0,1,0,1,1,1,1,1,4,3,2,1,4,5,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.07,0
34,79,0,16,0,1,3,4,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,14,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.14,0
35,274,0,17,0,1,1,1,1,2,0,1,0,0,0,0,1,0,1,4,3,2,1,1,4,10,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.05,0
36,134,0,17,1,1,2,2,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.15,0
37,529,0,16,1,1,4,4,2,1,0,0,1,0,0,1,1,0,0,5,1,3,1,2,5,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.08,0
38,396,1,18,1,1,3,4,1,2,0,0,0,0,1,1,1,1,1,4,3,3,1,3,5,6,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.02,0
39,373,0,17,1,1,2,2,1,3,0,0,1,0,1,1,1,1,0,3,3,2,2,2,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.06,0
40,532,1,16,0,1,2,1,2,2,0,0,0,0,0,0,1,1,1,4,2,2,1,4,5,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.2,1
41,192,1,16,0,1,4,2,1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.25,0
42,119,1,15,0,1,3,4,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.07,0
43,138,1,15,0,1,3,4,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.14,0
44,402,0,17,0,1,4,3,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,3,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.01,0
45,538,0,16,1,1,2,2,1,3,0,0,1,0,0,0,1,0,1,4,3,3,2,2,5,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.04,0
46,609,0,18,0,1,1,2,2,2,0,0,1,0,0,1,0,0,0,4,1,1,1,1,4,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.24,0
47,242,1,18,1,1,2,1,4,2,0,1,1,0,1,1,1,1,1,4,3,2,4,5,3,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.18,0
48,478,0,16,0,1,1,1,2,2,3,1,1,0,0,1,1,0,0,3,4,3,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.26,1
49,533,0,16,1,1,2,1,1,2,0,0,0,0,0,1,1,1,1,3,2,2,1,1,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.11,0
50,528,0,17,0,1,2,2,1,1,0,0,1,1,0,1,1,1,0,5,1,3,1,2,5,5,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.12,1
51,573,0,17,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,4,3,2,1,2,5,9,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.14,0
52,503,0,16,0,1,1,1,1,4,0,1,1,0,1,1,1,1,0,2,2,1,1,1,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.15,0
53,209,0,17,1,1,2,4,1,2,0,0,0,0,1,1,1,1,1,4,3,2,1,1,5,8,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.03,0
54,297,1,17,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,5,2,2,1,1,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.31,0
55,54,0,15,1,0,3,3,1,1,0,0,0,0,0,1,1,1,0,5,3,4,4,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.18,0
56,370,0,19,1,0,1,1,3,2,2,0,1,0,0,0,1,1,1,5,3,4,1,1,4,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.32,1
57,644,0,19,0,1,2,3,1,3,1,0,0,0,1,0,1,1,0,5,4,2,1,2,5,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.23,0
58,474,1,15,1,1,1,3,3,1,0,0,1,0,1,1,1,1,0,4,2,4,3,5,3,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.09,0
59,155,1,17,0,1,2,1,1,1,0,0,1,0,0,1,1,1,0,5,4,5,1,2,5,22,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.19,1
60,295,1,19,1,0,4,3,1,2,0,0,1,0,0,1,1,1,0,4,3,1,1,1,1,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.11,0
61,587,0,18,1,1,2,2,1,2,1,0,1,0,1,1,1,1,0,2,3,3,1,2,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.33,1
62,447,1,17,0,1,2,1,3,1,0,0,0,0,1,1,0,0,1,5,5,5,5,5,3,8,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.35,1
63,5,1,16,1,1,4,3,1,2,0,0,1,0,1,1,1,1,0,5,4,2,1,2,5,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.05,0
64,553,1,17,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,4,1,2,1,1,5,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.18,0
65,200,1,16,0,1,1,2,1,1,0,0,1,0,1,1,1,1,1,3,3,3,1,2,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.16,0
66,405,0,19,1,0,2,3,2,1,1,0,0,0,0,1,0,1,0,2,2,3,3,4,5,16,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.28,0
67,615,0,17,1,0,3,2,2,2,0,0,0,0,0,1,1,0,1,1,2,3,1,2,5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.09,0
68,462,0,15,0,1,1,1,3,2,0,0,1,0,0,1,1,0,0,4,2,1,1,2,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.08,0
69,627,1,18,1,1,1,2,3,1,0,0,1,0,1,1,0,1,1,4,3,3,2,3,3,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.35,0
70,151,1,16,0,1,4,4,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.11,0
71,356,0,17,0,1,4,4,1,1,0,0,0,0,1,1,1,1,0,4,4,4,1,1,5,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.06,0
72,217,0,17,0,1,2,2,1,1,0,0,1,0,0,1,1,1,0,5,3,2,1,2,3,21,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.08,0
73,185,1,16,0,1,1,0,2,2,0,0,1,0,1,1,1,1,1,4,3,2,1,1,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.14,0
74,35,0,15,0,1,2,3,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.12,0
75,400,1,18,0,1,4,3,1,3,0,0,0,0,0,1,1,1,1,5,3,2,1,2,4,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.07,0
76,107,1,16,0,1,3,3,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.06,0
77,425,0,15,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,4,1,3,1,1,2,6,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.25,0
78,361,1,19,0,1,4,2,2,2,0,0,1,0,1,1,1,1,1,5,4,4,1,1,1,9,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.12,0
79,461,0,16,0,1,1,1,2,1,0,0,0,0,1,1,1,1,1,4,2,2,4,3,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.19,0
80,275,0,18,0,1,2,1,2,3,0,0,1,0,0,0,1,1,1,4,4,4,1,1,3,10,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.07,0
81,229,0,17,1,1,3,2,2,2,0,0,0,0,0,1,1,1,0,4,4,4,1,3,1,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.06,0
82,317,0,17,1,1,2,2,2,2,0,1,1,0,0,1,1,1,1,4,4,4,2,3,5,6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.12,0
83,250,1,17,1,1,2,2,1,2,0,0,0,0,1,0,1,1,1,4,4,2,5,5,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.19,0
84,9,1,15,0,1,3,4,1,2,0,0,1,0,1,1,1,1,0,5,5,1,1,1,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.14,0
85,458,0,16,0,1,1,1,4,4,0,0,1,0,0,0,1,1,0,4,3,2,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.05,0
86,624,0,17,0,1,1,1,3,1,1,0,1,0,0,1,1,1,1,5,2,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.31,1
87,181,0,16,0,1,4,2,1,2,0,0,0,0,0,1,1,1,1,4,2,3,1,1,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.01,0
88,310,0,18,0,1,2,1,2,2,0,0,1,0,0,1,0,1,1,4,3,5,1,2,3,12,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.24,0
89,455,0,15,0,1,2,1,1,2,0,1,1,0,0,0,1,1,0,4,4,2,3,3,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.1,1
90,466,1,15,0,1,3,1,2,1,0,0,1,0,0,1,1,0,0,3,2,3,1,3,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.18,0
91,646,0,18,0,1,1,1,2,2,0,0,0,0,1,1,1,0,0,1,1,1,1,1,5,6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.23,1
92,549,0,17,0,1,4,2,2,2,0,1,1,0,0,0,1,1,0,4,3,3,2,3,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.08,0
93,59,0,16,0,1,4,2,1,2,0,0,1,1,0,1,1,1,0,4,2,3,1,1,5,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.08,0
94,172,1,16,0,1,3,3,1,2,1,0,1,0,0,1,1,1,1,4,5,5,4,4,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.27,1
95,423,0,16,0,1,1,3,2,1,0,0,1,0,0,1,0,1,1,4,3,3,1,3,5,11,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.38,0
96,31,1,15,0,1,4,4,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.14,0
97,345,0,18,1,0,4,4,1,2,0,0,1,1,0,1,1,1,1,4,2,4,1,1,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.09,0
98,498,0,16,0,1,2,1,1,2,0,0,1,0,1,1,1,1,0,5,3,3,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.08,0
99,403,0,17,0,1,2,1,2,2,0,0,1,0,1,1,1,1,1,4,3,4,2,2,1,10,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.06,0
100,285,1,16,0,1,2,1,2,1,0,0,0,0,1,0,1,0,0,3,3,2,1,3,3,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.16,0
101,548,0,17,0,0,1,1,1,2,0,0,0,0,1,1,1,1,1,4,5,5,1,2,3,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.14,0
102,272,1,17,0,1,1,1,2,3,0,0,0,0,0,0,1,1,1,4,3,3,1,1,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.08,0
103,448,0,16,0,1,4,4,2,3,0,0,0,0,1,1,1,1,1,4,2,2,1,1,4,6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.03,0
104,212,0,17,0,1,4,4,2,1,1,0,1,0,0,1,1,1,0,4,2,4,2,3,2,30,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.2,0
105,40,0,16,1,1,2,2,2,2,0,0,1,0,1,0,1,1,1,3,3,3,1,2,3,16,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.04,0
106,102,1,15,0,1,4,4,1,1,0,0,1,1,1,0,1,1,0,5,3,3,1,1,5,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.13,0
107,635,0,17,0,1,3,1,1,2,0,0,1,0,1,0,1,1,0,4,5,4,2,3,1,10,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.09,1
108,252,0,16,0,0,4,1,1,2,0,0,0,0,1,1,1,1,1,5,3,3,1,2,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.21,0
109,416,1,17,1,0,3,2,1,2,0,0,1,0,0,1,1,1,0,4,4,4,1,2,5,10,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.05,0
110,309,1,18,0,1,4,2,1,2,0,0,1,0,1,1,1,1,1,5,4,5,1,3,5,4,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.12,0
111,638,1,17,0,1,2,3,2,2,0,0,0,0,1,1,1,1,0,4,4,3,1,1,3,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.04,0
112,333,0,17,0,1,1,1,1,3,0,0,1,0,0,1,1,1,0,4,3,3,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.05,0
113,66,1,15,0,0,4,4,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.22,0
114,170,0,18,0,1,1,1,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.34,0
115,264,0,17,1,0,2,2,1,1,1,0,1,0,0,0,0,1,0,3,1,2,1,1,1,8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.37,0
116,436,0,15,1,1,1,1,2,1,1,0,1,0,0,1,1,1,1,4,4,3,1,2,2,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.35,1
117,203,1,17,0,1,1,2,1,2,0,0,0,0,0,1,1,0,0,3,1,3,1,5,3,6,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.15,0
118,289,0,17,1,1,4,2,1,4,0,0,1,0,1,1,1,1,0,4,2,3,1,1,4,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.01,0
119,287,1,17,1,1,1,1,2,1,1,0,1,0,1,1,1,1,0,4,4,4,1,2,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.37,0
120,202,0,17,0,0,3,3,1,2,0,0,1,0,0,0,1,1,1,3,3,3,1,3,3,10,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.01,0
121,277,0,17,0,1,1,1,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.13,0
122,75,1,15,0,1,4,3,1,2,0,0,1,0,1,1,1,1,0,4,3,3,2,3,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.01,0
123,166,1,19,0,1,3,2,1,1,0,0,1,0,0,1,0,1,1,4,5,4,1,1,4,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.35,0
124,623,1,18,1,1,4,4,2,3,0,0,0,0,0,1,1,1,1,4,2,2,2,2,5,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.08,0
